Date,Open,High,Low,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Dec 17, 2020",128.90,129.58,128.04,128.70,125.71,"94,359,800"
"Dec 16, 2020",127.41,128.37,126.56,127.81,124.84,"98,208,600"
"Dec 15, 2020",124.34,127.90,124.13,127.88,124.91,"157,243,700"
"Dec 14, 2020",122.60,123.35,121.54,121.78,118.95,"79,184,500"
"Dec 11, 2020",122.43,122.76,120.55,122.41,119.57,"86,939,800"
"Dec 10, 2020",120.50,123.87,120.15,123.24,120.38,"81,312,200"
"Dec 9, 2020",124.53,125.95,121.00,121.78,118.95,"115,089,200"
"Dec 8, 2020",124.37,124.98,123.09,124.38,121.49,"82,225,500"
"Dec 7, 2020",122.31,124.57,122.25,123.75,120.88,"86,712,000"
"Dec 4, 2020",122.60,122.86,121.52,122.25,119.41,"78,260,400"
"Dec 3, 2020",123.52,123.78,122.21,122.94,120.09,"78,967,600"
"Dec 2, 2020",122.02,123.37,120.89,123.08,120.22,"89,004,200"
"Dec 1, 2020",121.01,123.47,120.01,122.72,119.87,"127,728,200"
"Nov 30, 2020",116.97,120.97,116.81,119.05,116.29,"169,410,200"
"Nov 27, 2020",116.57,117.49,116.22,116.59,113.88,"46,691,300"
"Nov 25, 2020",115.55,116.75,115.17,116.03,113.34,"76,499,200"
"Nov 24, 2020",113.91,115.85,112.59,115.17,112.50,"113,874,200"
"Nov 23, 2020",117.18,117.62,113.75,113.85,111.21,"127,959,300"
"Nov 20, 2020",118.64,118.77,117.29,117.34,114.62,"73,604,300"
"Nov 19, 2020",117.59,119.06,116.81,118.64,115.89,"74,113,000"
"Nov 18, 2020",118.61,119.82,118.00,118.03,115.29,"76,322,100"
"Nov 17, 2020",119.55,120.67,118.96,119.39,116.62,"74,271,000"
"Nov 16, 2020",118.92,120.99,118.15,120.30,117.51,"91,183,000"
"Nov 13, 2020",119.44,119.67,117.87,119.26,116.49,"81,581,900"
"Nov 12, 2020",119.62,120.53,118.57,119.21,116.44,"103,162,300"
"Nov 11, 2020",117.19,119.63,116.44,119.49,116.72,"112,295,000"
"Nov 10, 2020",115.55,117.59,114.13,115.97,113.28,"138,023,400"
"Nov 9, 2020",120.50,121.99,116.05,116.32,113.62,"154,515,300"
"Nov 6, 2020",0.21Dividend
"Nov 6, 2020",118.32,119.20,116.13,118.69,115.93,"114,457,900"
"Nov 5, 2020",117.95,119.62,116.87,119.03,116.07,"126,387,100"
"Nov 4, 2020",114.14,115.59,112.35,114.95,112.09,"138,235,500"
"Nov 3, 2020",109.66,111.49,108.73,110.44,107.69,"107,624,400"
"Nov 2, 2020",109.11,110.68,107.32,108.77,106.06,"122,866,900"
"Oct 30, 2020",111.06,111.99,107.72,108.86,106.15,"190,272,600"
"Oct 29, 2020",112.37,116.93,112.20,115.32,112.45,"146,129,200"
"Oct 28, 2020",115.05,115.43,111.10,111.20,108.43,"143,937,800"
"Oct 27, 2020",115.49,117.28,114.54,116.60,113.70,"92,276,800"
"Oct 26, 2020",114.01,116.55,112.88,115.05,112.19,"111,850,700"
"Oct 23, 2020",116.39,116.55,114.28,115.04,112.18,"82,572,600"
